CNPJ_RAIZ,RAZAO_SOCIAL_SEFAZ,RAZAO_SOCIAL_RFB,RAZAO_SOCIAL_REDESIM,FONTE_RECOMENDADA,RAZAO_SOCIAL_RECOMENDADA,GC,SIMILARIDADE_CAD_RFB,SIM_CAD_REDESIM,SIM_RFB_REDESIM
23661457,MARIA LUCIA DOS REIS GODINHO,MARIA LUCIA DOS REIS GODINHO,,SEFAZ,MARIA LUCIA DOS REIS GODINHO,90,100,,
23664188,ROSSELY PESC COM IND IMP EXPORTACOES LTDA,ROSSELY PESCADOS COMERCIO INDUSTRIA IMP E EXP LTDA,,SEFAZ,ROSSELY PESC COM IND IMP EXPORTACOES LTDA,50,50,,
23600323,PRODCIL PROJ DIMENSIONAMT CONST INCP LTDA,PRODCIL-PROJETO DIMENSIONAMENTO CONSTRUCOES E INCP LTDA,,SEFAZ,PRODCIL PROJ DIMENSIONAMT CONST INCP LTDA,50,73,,
23607146,R M GONCALVES FARMACIA,R M GONCALVES FARMACIA,,SEFAZ,R M GONCALVES FARMACIA,90,100,,
23612039,MARIA DA CONCEICAO MARQUES BEZERRA,MARIA DA CONCEICAO MARQUES BEZERRA,,SEFAZ,MARIA DA CONCEICAO MARQUES BEZERRA,90,100,,
23608110,M S REIS MORAIS,M S REIS MORAIS,,SEFAZ,M S REIS MORAIS,90,100,,
23609001,IONE PESSOA ZICA,IONE PESSOA ZICA,,SEFAZ,IONE PESSOA ZICA,90,100,,
23677735,COMERCIAL JACINTO LTDA,COMERCIAL JACINTO LTDA,,SEFAZ,COMERCIAL JACINTO LTDA,90,100,,
23435423,PANORAMA VEICULOS DECORACOES LTDA,PANORAMA MOVEIS DECORACOES LTDA,,SEFAZ,PANORAMA VEICULOS DECORACOES LTDA,50,82,,
11586666,MDADEIREIRA EUNAPOLIS LTDA,MADEIREIRA EUNAPOLIS LTDA,,SEFAZ,MDADEIREIRA EUNAPOLIS LTDA,90,97,,
23426349,ALDENICE MARIA FERREIRA DE SOUZA,ALDENICE MARIA FERREIRA DE SOUZA,,SEFAZ,ALDENICE MARIA FERREIRA DE SOUZA,90,100,,
35099746,M C G PAULO,M C G PAULO,,SEFAZ,M C G PAULO,90,100,,
10305001,EMPHLORA AGROPECUARIA LTDA,EMPHLORA AGROPECUARIA LTDA,,SEFAZ,EMPHLORA AGROPECUARIA LTDA,90,100,,
06096721,JOSE MARIANO FERREIRA DE AGUIAR,JOSE MARIANO FERREIRA DE AGUIAR,,SEFAZ,JOSE MARIANO FERREIRA DE AGUIAR,90,100,,
06790703,R RIBEIRO GRAFICA,R RIBEIRO GRAFICA,,SEFAZ,R RIBEIRO GRAFICA,90,100,,
06862627,CLAUDINO S A LOJAS DE DEPARTAMENTOS,,,SEFAZ,CLAUDINO S A LOJAS DE DEPARTAMENTOS,60,,,
06694244,KARAJAS MADEIRAS LTDA,KARAJAS MADEIRAS LTDA,,SEFAZ,KARAJAS MADEIRAS LTDA,90,100,,
06775746,MARIEL DE SOUSA OLIVEIRA,MARIEL DE SOUSA OLIVEIRA,,SEFAZ,MARIEL DE SOUSA OLIVEIRA,90,100,,
06765226,MANORTE COM DE DERIVADOS DE PETROLEO LTDA,MANORTE COMERCIO DE DERIVADOS DE PETROLEO LTDA,,SEFAZ,MANORTE COM DE DERIVADOS DE PETROLEO LTDA,90,90,,
06265581,OLEAGINOSAS MARANHENSES SA,OLEAGINOSAS MARANHENSES S A,,SEFAZ,OLEAGINOSAS MARANHENSES SA,90,97,,
12155958,RAIMUNDA ASCENCAO DA SILVA,RAIMUNDA ASCENCAO DA SILVA,,SEFAZ,RAIMUNDA ASCENCAO DA SILVA,90,100,,
35163229,M A O M CHAVES,M A O M CHAVES,,SEFAZ,M A O M CHAVES,90,100,,
63538896,C  L  DE ALMEIDA REIS CONFECCOES EIRELI,C. L. DE ALMEIDA REIS CONFECCOES EIRELI,C. L. DE ALMEIDA REIS CONFECCOES EIRELI,REDESIM,C. L. DE ALMEIDA REIS CONFECCOES EIRELI,100,95,95,100
39834028,RODRIGO RIBEIRO DA SILVA 05791831307,RODRIGO RIBEIRO DA SILVA 05791831307,RODRIGO RIBEIRO DA SILVA 05791831307,REDESIM,RODRIGO RIBEIRO DA SILVA 05791831307,100,100,100,100
10858319,N CRUZ DE SOUSA - COMARCIO - ME,N CRUZ DE SOUSA - COMERCIO,N CRUZ DE SOUSA - COMÃRCIO - ME,REDESIM,N CRUZ DE SOUSA - COMÃRCIO - ME,70,76,95,74
39969496,MARIA ZELIA ALVES DA SILVA 01044020326,MARIA ZELIA ALVES DA SILVA 01044020326,MARIA ZELIA ALVES DA SILVA 01044020326,REDESIM,MARIA ZELIA ALVES DA SILVA 01044020326,100,100,100,100
39552034,A P BERNARDO,A P BERNARDO,A P BERNARDO,REDESIM,A P BERNARDO,100,100,100,100
39691132,ALDECIR RODRIGUES DOS SANTOS 64262367304,ALDECIR RODRIGUES DOS SANTOS 64262367304,ALDECIR RODRIGUES DOS SANTOS 64262367304,REDESIM,ALDECIR RODRIGUES DOS SANTOS 64262367304,100,100,100,100
39834396,J COSTA CHAGAS,J COSTA CHAGAS,J COSTA CHAGAS,REDESIM,J COSTA CHAGAS,100,100,100,100
39674249,M DE Q  COELHO EVENTOS,M DE Q. COELHO EVENTOS,M DE Q. COELHO EVENTOS,REDESIM,M DE Q. COELHO EVENTOS,100,96,96,100
39677303,BRENNDA RAQUEL CUTRIM RIOS 61363117394,BRENNDA RAQUEL CUTRIM RIOS 61363117394,BRENNDA RAQUEL CUTRIM RIOS 61363117394,REDESIM,BRENNDA RAQUEL CUTRIM RIOS 61363117394,100,100,100,100
00451737,C  C  B  COMARCIO E REPRESENTAAAES LTDA - ME,C C B COMERCIO E REPRESENTACOES LTDA,,SEFAZ,C  C  B  COMARCIO E REPRESENTAAAES LTDA - ME,50,66,,
39978225,VINICIUS SANTOS PROCOPIO FONSECA 05210824390,VINICIUS SANTOS PROCOPIO FONSECA 05210824390,VINICIUS SANTOS PROCOPIO FONSECA 05210824390,REDESIM,VINICIUS SANTOS PROCOPIO FONSECA 05210824390,100,100,100,100
12529418,ALDEMIR OLIMPIO DE SOUSA   ME,ALDEMIR OLIMPIO DE SOUSA,ALDEMIR OLIMPIO DE SOUSA- ME,REDESIM,ALDEMIR OLIMPIO DE SOUSA- ME,70,83,94,86
20593180,IR EMPREENDIMENTOS LTDA ,IR EMPREENDIMENTOS LTDA.,,SEFAZ,IR EMPREENDIMENTOS LTDA ,90,96,,
20555060,MARIA DAS DORES PEREIRA 76578895353,MARIA DAS DORES PEREIRA 76578895353,,SEFAZ,MARIA DAS DORES PEREIRA 76578895353,90,100,,
20716725,I  S  DE SOUSA COMERCIO,I. S. DE SOUSA COMERCIO,I. S. DE SOUSA COMERCIO - ME,REDESIM,I. S. DE SOUSA COMERCIO - ME,30,92,75,83
22560721,MARIA JOSE CARDOSO ARAUJO PEREIRA 93850662349,MARIA JOSE CARDOSO ARAUJO PEREIRA 93850662349,,SEFAZ,MARIA JOSE CARDOSO ARAUJO PEREIRA 93850662349,90,100,,
22219400,JOSIVAL DE MORAIS COSTA 77314697191,JOSIVAL DE MORAIS COSTA 77314697191,,SEFAZ,JOSIVAL DE MORAIS COSTA 77314697191,90,100,,
22784199,ROGERIO SENA DE SOUSA 01030417377,ROGERIO SENA DE SOUSA 01030417377,,SEFAZ,ROGERIO SENA DE SOUSA 01030417377,90,100,,
22599638,JOACIR FREITAS CASAGRANDE 23430613000,JOACIR FREITAS CASAGRANDE 23430613000,,SEFAZ,JOACIR FREITAS CASAGRANDE 23430613000,90,100,,
22465259,PAULO CUNHA DE SOUSA 47639385334,PAULO CUNHA DE SOUSA 47639385334,,SEFAZ,PAULO CUNHA DE SOUSA 47639385334,90,100,,
22365700,NEILA MARIA REIS COSTA 43169821334,NEILA MARIA REIS COSTA 43169821334,,SEFAZ,NEILA MARIA REIS COSTA 43169821334,90,100,,
22210149,M DA TRINDADE DUARTE,M DA TRINDADE DUARTE,,SEFAZ,M DA TRINDADE DUARTE,90,100,,
22210381,MIZAEL GOMES DE FREITAS 80460240315,MIZAEL GOMES DE FREITAS 80460240315,MIZAEL GOMES DE FREITAS 80460240315,REDESIM,MIZAEL GOMES DE FREITAS 80460240315,100,100,100,100
06091896,ARLINDO FERREIRA DE LUCENA ME,ARLINDO FERREIRA DE LUCENA,,SEFAZ,ARLINDO FERREIRA DE LUCENA ME,90,90,,
06677850,WOLFIGANGO VIANA GUARA,WOLFIGANGO VIANA GUARA,,SEFAZ,WOLFIGANGO VIANA GUARA,90,100,,
06307441,JOSE ALBERTO CUTRIM OLIVEIRA ME,JOSE ALBERTO CUTRIM OLIVEIRA,,SEFAZ,JOSE ALBERTO CUTRIM OLIVEIRA ME,90,91,,
07349319,A L MORAES DIAS COMERCIO ME,A L MORAES DIAS COMERCIO,,SEFAZ,A L MORAES DIAS COMERCIO ME,50,89,,
10371987,E CARDOSO,E CARDOSO,,SEFAZ,E CARDOSO,90,100,,
10419018,JOSE NERES DOS SANTOS ME,JOSE NERES DOS SANTOS,,SEFAZ,JOSE NERES DOS SANTOS ME,50,88,,
10269306,B M PIRES ME,B M PIRES,,SEFAZ,B M PIRES ME,50,75,,
10368983,JOSE RIBAMAR EVERTON MARINHO,JOSE RIBAMAR EVERTON MARINHO,JOSÉ RIBAMAR EVERTON MARINHO - ME,REDESIM,JOSÉ RIBAMAR EVERTON MARINHO - ME,30,100,80,80
12126835,M J SILVA SOARES ME,M J SILVA SOARES,,SEFAZ,M J SILVA SOARES ME,50,85,,
11783131,OMAR DE C FURTADO ME,OMAR DE C FURTADO,,SEFAZ,OMAR DE C FURTADO ME,50,85,,
10286078,J H A DA SILVA ME,J H A DA SILVA,,SEFAZ,J H A DA SILVA ME,50,83,,
12095311,MOACIR SILVA SOUSA,MOACIR SILVA SOUSA,,SEFAZ,MOACIR SILVA SOUSA,90,100,,
07633225,J H SILVA ME,J H SILVA,,SEFAZ,J H SILVA ME,50,75,,
07507429,JOSE DA CONCEICAO,JOSE DA CONCEICAO,,SEFAZ,JOSE DA CONCEICAO,90,100,,
12099693,VICENTE CARDOSO PINTO ME,VICENTE CARDOSO PINTO,,SEFAZ,VICENTE CARDOSO PINTO ME,50,88,,
06160188,RAIMUNDO ALMEIDA COSTA ME,RAIMUNDO ALMEIDA COSTA,,SEFAZ,RAIMUNDO ALMEIDA COSTA ME,50,88,,
11033263,FRANCISCA DA SILVA SANTOS ME,FRANCISCA DA SILVA SANTOS,,SEFAZ,FRANCISCA DA SILVA SANTOS ME,90,90,,
11791696,ERLENIR G LIMA ME,ERLENIR G LIMA,,SEFAZ,ERLENIR G LIMA ME,50,83,,
12082699,I VIEIRA ME,I VIEIRA,,SEFAZ,I VIEIRA ME,50,73,,
06001549,LAUBER MACHADO PEREIRA MENDES,LAUBER MACHADO PEREIRA MENDES,,SEFAZ,LAUBER MACHADO PEREIRA MENDES,90,100,,
10293330,L D GOMES ME,L D GOMES M E,,SEFAZ,L D GOMES ME,90,93,,
02555122,C R M LIMA MADEIRAS,C R M LIMA MADEIRAS,,SEFAZ,C R M LIMA MADEIRAS,90,100,,
02823564,FRIGORIFICO SANTO ANTONIO LTDA,FRIGORIFICO SANTO ANTONIO LTDA,,SEFAZ,FRIGORIFICO SANTO ANTONIO LTDA,90,100,,
03216862,O GOMES CARVALHO,O. GOMES CARVALHO,,SEFAZ,O GOMES CARVALHO,90,95,,
03215749,J I C DE OLIVEIRA COMERCIO E SERVICOS,J. I. C. DE OLIVEIRA COMERCIO E SERVICOS,,SEFAZ,J I C DE OLIVEIRA COMERCIO E SERVICOS,90,93,,
02555459,P L SOUSA COM,P L SOUSA COM,,SEFAZ,P L SOUSA COM,90,100,,
03104998,NILTON JOSÉ OLIVEIRA CRUZ-ME,NILTON JOSE OLIVEIRA CRUZ,,SEFAZ,NILTON JOSÉ OLIVEIRA CRUZ-ME,50,83,,
61157343,L HUBER EQUIPAMENTOS AUTOMOTIVOS LTDA,,,SEFAZ,L HUBER EQUIPAMENTOS AUTOMOTIVOS LTDA,60,,,
63522882,LUMAR REPRESENTACOES E COM HOSPITALAR LTDA,,,SEFAZ,LUMAR REPRESENTACOES E COM HOSPITALAR LTDA,60,,,
90195892,GPC QUIMICA S A ,,,SEFAZ,GPC QUIMICA S A ,60,,,
02500389,LAZARO SANTOS,LAZARO SANTOS,,SEFAZ,LAZARO SANTOS,90,100,,
09096769,CABEDELO INDUSTRIAL S/A,,,SEFAZ,CABEDELO INDUSTRIAL S/A,60,,,
12457354,DISTRIBUIDORA CASA DO REMEDIO LTDA,,,SEFAZ,DISTRIBUIDORA CASA DO REMEDIO LTDA,60,,,
33337122,CHEVRON BRASIL LTDA.,,IPIRANGA PRODUTOS DE PETROLEO S.A.,REDESIM,IPIRANGA PRODUTOS DE PETROLEO S.A.,50,,24,
40824443,SOLV QUIMICA COMERCIO E REPRESENTACOES LTDA,,,SEFAZ,SOLV QUIMICA COMERCIO E REPRESENTACOES LTDA,60,,,
02788440,M DO C COSTA SANTOS COMERCIO,M DO C COSTA SANTOS COMERCIO,,SEFAZ,M DO C COSTA SANTOS COMERCIO,90,100,,
02798470,TROYA COMERCIO CONSTRUCOES E SERVICOS LTDA,TROYA COMERCIO CONSTRUCOES E SERVICOS LTDA,,SEFAZ,TROYA COMERCIO CONSTRUCOES E SERVICOS LTDA,90,100,,
02765504,G C PAIXAO,G. C. PAIXAO,,SEFAZ,G C PAIXAO,50,84,,
02401015,R. N. S. PIMENTEL-ME,R N S PIMENTEL,,SEFAZ,R. N. S. PIMENTEL-ME,50,70,,
02504786,M DO R A DE CARVALHO COMERCIO,M DO R A DE CARVALHO COMERCIO,,SEFAZ,M DO R A DE CARVALHO COMERCIO,90,100,,
02562182,AGOSTINHO BRITO,AGOSTINHO BRITO,,SEFAZ,AGOSTINHO BRITO,90,100,,
02234209,L MAGNO MENDES,L. MAGNO MENDES,,SEFAZ,L MAGNO MENDES,90,94,,
02321224,F FERREIRA MOURA,F FERREIRA MOURA,,SEFAZ,F FERREIRA MOURA,90,100,,
01432993,VIDRACARIA SAO JOSE LTDA,VIDRACARIA SAO JOSE LTDA,,SEFAZ,VIDRACARIA SAO JOSE LTDA,90,100,,
01422010,R B FERREIRA COMERCIAL,R B FERREIRA COMERCIAL,,SEFAZ,R B FERREIRA COMERCIAL,90,100,,
01965753,A. F. DOS SANTOS GOMES-ME,A F DOS ANJOS GOMES,,SEFAZ,A. F. DOS SANTOS GOMES-ME,50,72,,
02015742,FORTER COMERCIO E SERVICO EIRELI,FORTER COMERCIO E SERVICO EIRELI,,SEFAZ,FORTER COMERCIO E SERVICO EIRELI,90,100,,
02306027,ACELMO DE A SILVA,ACELMO DE A SILVA,,SEFAZ,ACELMO DE A SILVA,90,100,,
01101975,M H COELHO LEMOS,M H COELHO LEMOS,,SEFAZ,M H COELHO LEMOS,90,100,,
01221785,ANTONIO F LIMA PECAS PARA VEICULOS,ANTONIO F LIMA PECAS PARA VEICULOS,,SEFAZ,ANTONIO F LIMA PECAS PARA VEICULOS,90,100,,
00096518,I. L. DE CARVALHO COMERCIO,I. L. DE CARVALHO-COM,,SEFAZ,I. L. DE CARVALHO COMERCIO,50,77,,
00570348,AUTOMAC CONSTRUCOES PROJETOS E AUTOMACAO LTDA,AUTOMAC-CONSTRUCOES PROJETOS E AUTOMACAO LTDA,,SEFAZ,AUTOMAC CONSTRUCOES PROJETOS E AUTOMACAO LTDA,90,98,,
01186124,J R R DE ASSIS COM E REPRESENTACOES,J R R DE ASSIS COM E REPRESENTACOES,,SEFAZ,J R R DE ASSIS COM E REPRESENTACOES,90,100,,
01247991,F. LOPES RODRIGUES - ME,F LOPES RODRIGUES,,SEFAZ,F. LOPES RODRIGUES - ME,50,74,,
00774427,V G VARGAS ROCHA,V G VARGAS ROCHA,,SEFAZ,V G VARGAS ROCHA,90,100,,
00379116,J DE RIBAMAR LOBO,J DE RIBAMAR LOBO,,SEFAZ,J DE RIBAMAR LOBO,90,100,,
02348382,SAUL AFONSO PEREIRA FILHO-EPP,SAUL AFONSO PEREIRA FILHO,,SEFAZ,SAUL AFONSO PEREIRA FILHO-EPP,50,87,,
01441354,M. B. R. DE LIMA - ME,MBR DE LIMA,,SEFAZ,M. B. R. DE LIMA - ME,50,53,,
01984241,I F SANDOVAL,I F SANDOVAL,,SEFAZ,I F SANDOVAL,90,100,,
01440691,IVONETE ARAUJO BRANDAO,IVONETE ARAUJO BRANDAO,,SEFAZ,IVONETE ARAUJO BRANDAO,90,100,,
01682457,S M PINHEIRO & CIA LTDA,S. M. PINHEIRO & CIA LTDA.,,SEFAZ,S M PINHEIRO & CIA LTDA,50,89,,
01513833,WILSON FERREIRA COUTINHO,WILSON FERREIRA COUTINHO,,SEFAZ,WILSON FERREIRA COUTINHO,90,100,,
01266028,GRANDES CONSTRUCOES LTDA,,,SEFAZ,GRANDES CONSTRUCOES LTDA,60,,,
01625042,D DA A CAMPOS BALDEZ COMERCIO E REPRESENTACAO,D DA A CAMPOS BALDEZ COMERCIO E REPRESENTACAO,,SEFAZ,D DA A CAMPOS BALDEZ COMERCIO E REPRESENTACAO,90,100,,
01622305,M A NASCIMENTO ARAUJO COMERCIO,M A NASCIMENTO ARAUJO COMERCIO,,SEFAZ,M A NASCIMENTO ARAUJO COMERCIO,90,100,,
02354778,JOSENEUDO S DE MELO,JOSENEUDO S. DE MELO,,SEFAZ,JOSENEUDO S DE MELO,90,95,,
02348408,MAFIZA S. P. COSTA -ME,MAFIZA S P COSTA,,SEFAZ,MAFIZA S. P. COSTA -ME,50,73,,
01560695,E P BASTOS FILHO   EPP,E P BASTOS FILHO,,SEFAZ,E P BASTOS FILHO   EPP,50,73,,
00467106,O FREITAS SALES FILHA,O FREITAS SALES FILHA,,SEFAZ,O FREITAS SALES FILHA,90,100,,
01387525,A BASILIO DE OLIVEIRA,A BASILIO DE OLIVEIRA,,SEFAZ,A BASILIO DE OLIVEIRA,90,100,,
01758617,A. S. LIMA FARMACIA-ME,A.S.LIMA FARMACIA,,SEFAZ,A. S. LIMA FARMACIA-ME,50,78,,
01305668,S LEMES DA SILVA COMERCIO,S LEMES DA SILVA COMERCIO,,SEFAZ,S LEMES DA SILVA COMERCIO,90,100,,
00958733,JUSTINA SANTOS,JUSTINA SANTOS,,SEFAZ,JUSTINA SANTOS,90,100,,
01268403,MEGATRADE COMERCIO E REPRESENTACOES LTDA,MEGATRADE COMERCIO E REPRESENTACOES LTDA,,SEFAZ,MEGATRADE COMERCIO E REPRESENTACOES LTDA,90,100,,
01382178,C O B COSTA,C O B COSTA,,SEFAZ,C O B COSTA,90,100,,
01404915,MENDES & MOREIRA LTDA,MENDES & MOREIRA LTDA,,SEFAZ,MENDES & MOREIRA LTDA,90,100,,
35690931,RAIMUNDO NONATO BEZERRA DOS SANTOS FILHO 99628279300,RAIMUNDO NONATO BEZERRA DOS SANTOS FILHO 99628279300,RAIMUNDO NONATO BEZERRA DOS SANTOS FILHO 99628279300,REDESIM,RAIMUNDO NONATO BEZERRA DOS SANTOS FILHO 99628279300,100,100,100,100
35663021,EURIVAN DOS SANTOS SILVA 62632505348,EURIVAN DOS SANTOS SILVA 62632505348,EURIVAN DOS SANTOS SILVA 62632505348,REDESIM,EURIVAN DOS SANTOS SILVA 62632505348,100,100,100,100
36563046,REGINA DE FATIMA SILVA SANTOS 09352042883,REGINA DE FATIMA SILVA SANTOS 09352042883,REGINA DE FATIMA SILVA SANTOS 09352042883,REDESIM,REGINA DE FATIMA SILVA SANTOS 09352042883,100,100,100,100
28408002,EMILIO VIANA NUNES 01356352332,EMILIO VIANA NUNES 01356352332,EMILIO VIANA NUNES 01356352332,REDESIM,EMILIO VIANA NUNES 01356352332,100,100,100,100
36766166,RUTH RANEIDE PEREIRA SILVA 85057789368,RUTH RANEIDE PEREIRA SILVA 85057789368,,SEFAZ,RUTH RANEIDE PEREIRA SILVA 85057789368,90,100,,
01527131,VERIANE COMERCIO DE BIJOUTERIAS E ARMARINHOS LTDA,VERIANE COMERCIO DE BIJOUTERIAS E ARMARINHOS LTDA,,SEFAZ,VERIANE COMERCIO DE BIJOUTERIAS E ARMARINHOS LTDA,90,100,,
01500584,PSICULTURA E AGROPECUARIA BOM FUTURO LTDA,PSICULTURA E AGROPECUARIA BOM FUTURO LTDA,,SEFAZ,PSICULTURA E AGROPECUARIA BOM FUTURO LTDA,90,100,,
02108493,MANOEL ANTONIO NERES   ME,MANOEL ANTONIO NERES,,SEFAZ,MANOEL ANTONIO NERES   ME,50,80,,
01727492,E M NASCIMENTO DE SOUSA,E M NASCIMENTO DE SOUSA,,SEFAZ,E M NASCIMENTO DE SOUSA,90,100,,
02158294,E. M. S. DA SILVA RIBEIRO ME,E M S DA SILVA RIBEIRO,,SEFAZ,E. M. S. DA SILVA RIBEIRO ME,50,79,,
00758229,VIRLENE PEREIRA SERRA,VIRLENE PEREIRA SERRA,,SEFAZ,VIRLENE PEREIRA SERRA,90,100,,
01543212,M A MILHOMEM CARVALHO,M A MILHOMEM CARVALHO,,SEFAZ,M A MILHOMEM CARVALHO,90,100,,
01556141,ENCOL S/A ENGENHARIA COMERCIO E INDUSTRIA,,,SEFAZ,ENCOL S/A ENGENHARIA COMERCIO E INDUSTRIA,60,,,
01399423,AVRIMAG AGROINDUSTRIA VALE DO RIO MAGU LTDA,AVRIMAG AGROINDUSTRIA VALE DO RIO MAGU LTDA,,SEFAZ,AVRIMAG AGROINDUSTRIA VALE DO RIO MAGU LTDA,90,100,,
02288101,ADAILSON FERNANDES DA SILVA,ADAILSON FERNANDES DA SILVA,,SEFAZ,ADAILSON FERNANDES DA SILVA,90,100,,
01245239,L COSTA PINTO,L COSTA PINTO,,SEFAZ,L COSTA PINTO,90,100,,
01359160,A CARVALHO MENDES,A CARVALHO MENDES,,SEFAZ,A CARVALHO MENDES,90,100,,
01270054,JOSE DESORDI DA SILVA SANTOS COM E REPRES,JOSE DESORDI DA SILVA SANTOS COMERCIO E REPRESENTACOES,,SEFAZ,JOSE DESORDI DA SILVA SANTOS COM E REPRES,50,76,,
00998010,EBENIAS O. BARROS-ME,EBENIAS O BARROS,,SEFAZ,EBENIAS O. BARROS-ME,50,80,,
01274569,IMPORTADORA FERNANDES LTDA,IMPORTADORA FERNANDES LTDA,,SEFAZ,IMPORTADORA FERNANDES LTDA,90,100,,
00894817,Z M A DA COSTA,Z M A DA COSTA,,SEFAZ,Z M A DA COSTA,90,100,,
00975718,MILENA PINHO DA SILVA,MILENA PINHO DA SILVA,,SEFAZ,MILENA PINHO DA SILVA,90,100,,
01030277,A QUEIROZ ARAUJO FILHO,A QUEIROZ ARAUJO FILHO,,SEFAZ,A QUEIROZ ARAUJO FILHO,90,100,,
36963579,EMERSON RAMON LOPES DOS SANTOS 60948192330,EMERSON RAMON LOPES DOS SANTOS 60948192330,,SEFAZ,EMERSON RAMON LOPES DOS SANTOS 60948192330,90,100,,
37827787,FARMACIAS J3 LTDA,FARMACIAS J3 LTDA,,SEFAZ,FARMACIAS J3 LTDA,90,100,,
36793394,HELLY FELIP CHAVES AMURIM 06337673360,HELLY FELIP CHAVES AMURIM 06337673360,HELLY FELIP CHAVES AMURIM 06337673360,REDESIM,HELLY FELIP CHAVES AMURIM 06337673360,100,100,100,100
36510896,LIDINALVA LIMA SOUSA 02709671336,LIDINALVA LIMA SOUSA 02709671336,,SEFAZ,LIDINALVA LIMA SOUSA 02709671336,90,100,,
39430727,LADONILSON DE JESUS BARROS MARTINS 99585294249,LADONILSON DE JESUS BARROS MARTINS 99585294249,LADONILSON DE JESUS BARROS MARTINS 99585294249,REDESIM,LADONILSON DE JESUS BARROS MARTINS 99585294249,100,100,100,100
39808356,ADSON DE SOUSA COELHO 61874348383,ADSON DE SOUSA COELHO 61874348383,ADSON DE SOUSA COELHO 61874348383,REDESIM,ADSON DE SOUSA COELHO 61874348383,100,100,100,100
40091518,LUIS CARLOS DE SOUSA LANDIM DA SILVA 61079984380,LUIS CARLOS DE SOUSA LANDIM DA SILVA 61079984380,LUIS CARLOS DE SOUSA LANDIM DA SILVA 61079984380,REDESIM,LUIS CARLOS DE SOUSA LANDIM DA SILVA 61079984380,100,100,100,100
40041051,WANDERSON LIMA SOUSA LTDA,WANDERSON LIMA SOUSA LTDA,WANDERSON LIMA SOUSA LTDA,REDESIM,WANDERSON LIMA SOUSA LTDA,100,100,100,100
01672966,CEREALISTA BRILHANTE LTDA.,CEREALISTA BRILHANTE LTDA,,SEFAZ,CEREALISTA BRILHANTE LTDA.,90,97,,
01756209,SALDANHA & SANTOS LTDA,SALDANHA & SANTOS LTDA,,SEFAZ,SALDANHA & SANTOS LTDA,90,100,,
02118125,M. H. VIEIRA COMÉRCIO,M H VIEIRA - COMERCIO,,SEFAZ,M. H. VIEIRA COMÉRCIO,50,73,,
01742764,F ARAUJO ARMARINHO,F. ARAUJO - ARMARINHO,,SEFAZ,F ARAUJO ARMARINHO,50,86,,
07067952,DOMINGOS B SOARES,DOMINGOS B SOARES,,SEFAZ,DOMINGOS B SOARES,90,100,,
00778096,C C R PEREIRA - ME,C C R PEREIRA,,SEFAZ,C C R PEREIRA - ME,50,73,,
01046959,M DAS G ASEVEDO SILVA,M DAS G ASEVEDO SILVA,,SEFAZ,M DAS G ASEVEDO SILVA,90,100,,
00982685,JAPIACU RADIADORES LTDA,JAPIACU RADIADORES LTDA,,SEFAZ,JAPIACU RADIADORES LTDA,90,100,,
00693278,COMERCIAL ADRIANA COMERCIO E REPRESENTAC LTDA,COMERCIAL ADRIANA-COMERCIO E REPRESENTACOES LTDA,,SEFAZ,COMERCIAL ADRIANA COMERCIO E REPRESENTAC LTDA,90,92,,
01192235,VIANA FARMACIA E DROGARIA EIRELI,VIANA FARMACIA E DROGARIA EIRELI,,SEFAZ,VIANA FARMACIA E DROGARIA EIRELI,90,100,,
00536529,PONTO DE LAVAGEM F M LTDA,POSTO DE LAVAGEM F M LTDA,,SEFAZ,PONTO DE LAVAGEM F M LTDA,90,96,,
73791899,J M R PINHEIRO ME,J M R PINHEIRO,,SEFAZ,J M R PINHEIRO ME,50,83,,
36511447,MARCONIS FERREIRA GALVAO 60632656352,MARCONIS FERREIRA GALVAO 60632656352,MARCONIS FERREIRA GALVAO 60632656352,REDESIM,MARCONIS FERREIRA GALVAO 60632656352,100,100,100,100
36495922,B C L TELLES SERVICOS,B C L TELLES SERVICOS,,SEFAZ,B C L TELLES SERVICOS,90,100,,
37027784,MIKAEL ALMEIDA SOARES 06096987370,MIKAEL ALMEIDA SOARES 06096987370,,SEFAZ,MIKAEL ALMEIDA SOARES 06096987370,90,100,,
40815274,EBENEZER DISTRIBUIDORA DE MARMORES E GRANITOS EIRELI,,EBENEZER DISTRIBUIDORA DE MARMORES E GRANITOS EIRELI,REDESIM,EBENEZER DISTRIBUIDORA DE MARMORES E GRANITOS EIRELI,90,,100,
36794534,MARIA DALVA ALMEIDA DE MORAES REGO CUTRIM 01721851305,MARIA DALVA ALMEIDA DE MORAES REGO CUTRIM 01721851305,MARIA DALVA ALMEIDA DE MORAES REGO CUTRIM 01721851305,REDESIM,MARIA DALVA ALMEIDA DE MORAES REGO CUTRIM 01721851305,100,100,100,100
40012186,RAIMUNDA DILMA RIBEIRO DE ALENCAR 08589046168,RAIMUNDA DILMA RIBEIRO DE ALENCAR 08589046168,RAIMUNDA DILMA RIBEIRO DE ALENCAR 08589046168,REDESIM,RAIMUNDA DILMA RIBEIRO DE ALENCAR 08589046168,100,100,100,100
